state_province,especie
Girona,Certhia brachydactyla
Ourense,Carduelis carduelis
Palencia,Troglodytes troglodytes
Girona,Ficedula hypoleuca
Alacant/Alicante,Actitis hypoleucos
Tarragona,Gallinula chloropus
Len,Fringilla coelebs
Segovia,Parus major
Zamora,Bubulcus ibis
Girona,Egretta garzetta
Albacete,Hirundo rustica
Zamora,Ixobrychus minutus
Tarragona,Phoenicurus ochruros
Len,Parus major
Ciudad Real,Phylloscopus collybita
Lleida,Falco tinnunculus
Ciudad Real,Bubulcus ibis
Bizkaia,Parus major
Zaragoza,Columba livia
Girona,Galerida cristata
Zaragoza,Columba palumbus
Murcia,Anas acuta
Murcia,Accipiter nisus
Pontevedra,Phoenicurus ochruros
Lleida,Carduelis carduelis
Lleida,Tringa ochropus
Zaragoza,Gallinula chloropus
Valncia/Valencia,Carduelis carduelis
Valncia/Valencia,Sylvia atricapilla
Zamora,Ardea cinerea
Palencia,Corvus frugilegus
Las Palmas,Gallinula chloropus
Valncia/Valencia,Galerida cristata
Lleida,Motacilla cinerea
Girona,Accipiter nisus
Valncia/Valencia,Motacilla cinerea
Tarragona,Sylvia atricapilla
Valncia/Valencia,Himantopus himantopus
Tarragona,Cyanistes caeruleus
Ourense,Sturnus
Barcelona,Cyanistes caeruleus
Las Palmas,Columba junoniae
Ciudad Real,Alcedo atthis
Alacant/Alicante,Galerida cristata
Lleida,Pica pica
Palencia,Actitis hypoleucos
Araba/lava,Poecile palustris
Valncia/Valencia,Merops apiaster
Asturias,Phoenicurus ochruros
Murcia,Streptopelia decaocto
Murcia,Motacilla cinerea
Valncia/Valencia,Nycticorax nycticorax
Bizkaia,Corvus corone
Palencia,Cuculus canorus
Ciudad Real,Larus fuscus
Valncia/Valencia,Myiopsitta monachus
A Corua,Ficedula hypoleuca
A Corua,Muscicapa striata
Segovia,Fringilla coelebs
Ciudad Real,Porphyrio porphyrio
Valncia/Valencia,Upupa epops
Bizkaia,Pica pica
Albacete,Phalacrocorax carbo
Tarragona,Phoenicopterus roseus
A Corua,Strix aluco
Asturias,Motacilla cinerea
Ourense,Anas platyrhynchos
Tarragona,Bubulcus ibis
Barcelona,Monticola solitarius
Zamora,Ficedula hypoleuca
Murcia,Anas crecca
Murcia,Galerida cristata
Asturias,Ardea cinerea
Tarragona,Actitis hypoleucos
Murcia,Hirundo daurica
Madrid,Milvus milvus
Valncia/Valencia,Sylvia melanocephala
Madrid,Turdus merula
Zamora,Corvus corax
Segovia,Milvus migrans
